,sample,IGSN,source,EXPEDITION ID,LATITUDE,LONGITUDE,LOC PREC,MIN ELEVATION,MAX ELEVATION,MIN AGE,AGE,MAX AGE,METHODS,ANALYZED MATERIAL,ROCK TYPE,sample_type,MINERAL,TECTONIC SETTING,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
82,IRVSAF-KIM-FRB1422,,"WITTIG, 2008",nr,-28.7167,24.75,0.01,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,3.649,7.421,0.93,3.54,0.495,0.125,0.314,0.038,0.163,0.025,0.052,0.006,0.034,0.004
83,IRVSAF-KIM-FRB1423,,"WITTIG, 2008",nr,-28.7167,24.75,0.01,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,12.601,21.996,2.346,8.27,1.187,0.312,0.878,0.106,0.526,0.096,0.273,0.043,0.267,0.043
89,IRVSAF-KIM-FRB1447,,"WITTIG, 2008",nr,-28.7167,24.75,0.01,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,3.1,6.188,0.807,3.217,0.414,0.101,0.235,0.024,0.104,0.016,0.029,0.004,0.021,0.004
90,IRVSAF-KIM-FRB1450,,"WITTIG, 2008",nr,-28.7167,24.75,0.01,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,1.493,2.943,0.345,1.254,0.172,0.044,0.107,0.013,0.05,0.008,0.017,0.003,0.014,0.003
91,IRVSAF-KIM-FRB1457,,"WITTIG, 2008",nr,-28.7167,24.75,0.01,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,0.825,1.596,0.196,0.735,0.14,0.039,0.111,0.015,0.07,0.011,0.03,0.004,0.033,0.005
92,IRVSAF-KIM-FRB1474,,"WITTIG, 2008",nr,-28.7167,24.75,0.01,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,23.341,42.421,4.736,15.7,1.894,0.436,0.966,0.104,0.467,0.082,0.213,0.031,0.192,0.032
94,IRVSAF-KIM-JJG360A,,"WITTIG, 2008",nr,-28.7167,24.75,0.01,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,18.6,23.5,1.8,6.82,1.053,0.31,0.806,0.095,0.399,0.057,0.109,0.014,0.064,0.009
95,IRVSAF-PREM-FRB1382,,"WITTIG, 2008",nr,-28.7167,24.75,0.01,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,0.803,1.425,0.162,0.598,0.127,0.048,0.163,0.029,0.186,0.042,0.125,0.02,0.143,0.024
96,IRVSAF-KIM-F865B,,"WITTIG, 2008",nr,-28.7167,24.75,0.01,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,1.41,2.84,0.306,1.35,0.218,0.063,0.189,0.025,0.114,0.019,0.043,0.006,0.036,0.006
97,IRVSAF-PREM-FRB1374,,"WITTIG, 2008",nr,-28.7167,24.75,0.01,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,0.977,1.676,0.189,0.729,0.122,0.034,0.103,0.012,0.075,0.013,0.034,0.005,0.04,0.008
98,IRVSAF-PREM-FRB451,,"WITTIG, 2008",nr,-28.7167,24.75,0.01,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,0.884,1.695,0.201,0.712,0.098,0.028,0.059,0.006,0.031,0.005,0.009,0.001,0.007,0.001
99,PETDB-0075-RR 01,,"CHAUVEL, 1997",nr,-22.4,-151.3,0.1,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,OCEAN_ISLAND,28.2,64.0,7.4,32.5,6.52,2.17,6.27,0.96,5.26,0.94,2.29,0.308,1.89,0.268
100,PETDB-1284-COCOS 11,,"HARPP, 2005",nr,5.54,-87.09,0.01,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,63.9,124.0,15.0,57.1,11.5,3.57,9.84,1.43,7.74,1.49,3.93,0.55,3.34,0.5
101,PETDB-1284-COCOS 16,,"HARPP, 2005",nr,5.54,-87.09,0.01,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,72.3,124.0,15.7,55.8,10.2,3.5,8.24,1.18,6.4,1.24,3.22,0.47,2.96,0.45
102,PETDB-1284-COCOS 17,,"HARPP, 2005",nr,5.54,-87.09,0.01,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,68.5,124.0,14.0,48.6,8.75,3.08,7.08,1.05,5.88,1.18,3.31,0.5,3.19,0.5
103,PETDB-1284-COCOS 24,,"HARPP, 2005",nr,5.54,-87.09,0.01,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,67.0,124.0,13.9,47.9,8.54,3.08,6.79,1.01,5.57,1.11,3.07,0.46,2.93,0.45
104,PETDB-1284-COCOS 25,,"HARPP, 2005",nr,5.54,-87.09,0.01,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,55.9,109.0,13.6,53.2,10.8,3.37,9.74,1.39,7.27,1.37,3.54,0.49,2.89,0.42
105,PETDB-1284-COCOS 26,,"HARPP, 2005",nr,5.54,-87.09,0.01,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,54.9,108.0,13.4,51.7,10.5,3.21,9.19,1.31,7.06,1.34,3.47,0.48,2.85,0.41
106,PETDB-1284-COCOS 27,,"HARPP, 2005",nr,5.54,-87.09,0.01,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,56.4,107.0,13.7,53.4,10.8,3.39,9.59,1.36,7.32,1.39,3.59,0.48,2.89,0.42
107,PETDB-1284-COCOS 33,,"HARPP, 2005",nr,5.54,-87.09,0.01,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,40.0,79.5,10.0,40.0,8.46,2.62,7.7,1.09,5.87,1.11,2.75,0.37,2.18,0.31
108,PETDB-1284-COCOS 34,,"HARPP, 2005",nr,5.54,-87.09,0.01,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,45.5,88.8,11.8,47.6,10.2,3.14,9.21,1.31,7.08,1.32,3.36,0.44,2.57,0.37
109,PETDB-1284-COCOS 36,,"HARPP, 2005",nr,5.54,-87.09,0.01,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,39.9,83.1,10.4,42.7,9.13,2.86,8.24,1.17,5.99,1.13,2.86,0.38,2.24,0.32
110,PETDB-1284-COCOS 37,,"HARPP, 2005",nr,5.54,-87.09,0.01,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,41.1,79.9,10.2,40.3,8.44,2.59,7.63,1.08,5.65,1.07,2.73,0.36,2.15,0.31
111,PETDB-1284-COCOS 38,,"HARPP, 2005",nr,5.54,-87.09,0.01,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,46.8,91.9,11.6,46.2,9.75,3.01,8.83,1.26,6.51,1.24,3.16,0.42,2.5,0.36
112,PETDB-1284-COCOS 39,,"HARPP, 2005",nr,5.54,-87.09,0.01,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,45.5,91.6,11.6,46.0,9.87,2.99,8.91,1.28,6.92,1.3,3.31,0.44,2.63,0.38
113,PETDB-1284-COCOS 42,,"HARPP, 2005",nr,5.54,-87.09,0.01,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,41.3,80.4,9.86,38.4,7.99,2.44,7.11,1.02,5.47,1.04,2.7,0.37,2.26,0.33
114,PETDB-1284-COCOS 8,,"HARPP, 2005",nr,5.54,-87.09,0.01,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,79.8,120.0,16.3,59.0,10.9,3.24,9.68,1.39,7.54,1.48,3.95,0.55,3.45,0.52
115,POLARK17-2-221-SG,,"NAURET, 2011",POLARK17-2,83.26,-5.578,0.001,,,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,4.97,14.4,2.06,12.8,4.11,1.45,5.3,0.91,6.08,1.25,3.63,0.52,3.59,0.53
116,PETDB-1642-OM95-41,,"PEUCKER-EHRENBRINK, 2012",nr,22.8,58.5,0.1,,,,,,XRF,WHOLE ROCK,IGNEOUS:PLUTONIC:MAFIC,GABBRO,,OPHIOLITE,0.06,0.18,0.05,0.35,0.19,0.12,0.32,0.059,0.42,0.087,0.23,0.032,0.2,0.032
117,PETDB-1642-OM95-P13,,"PEUCKER-EHRENBRINK, 2012",nr,22.8,58.5,0.1,,,,,,XRF,WHOLE ROCK,IGNEOUS:PLUTONIC:MAFIC,GABBRO,,OPHIOLITE,0.069,0.17,0.048,0.34,0.18,0.13,0.31,0.056,0.4,0.083,0.22,0.031,0.18,0.028
118,PETDB-1642-OM96-49,,"PEUCKER-EHRENBRINK, 2012",nr,22.8,58.5,0.1,,,,,,XRF,WHOLE ROCK,IGNEOUS:PLUTONIC:MAFIC,GABBRO,,OPHIOLITE,0.037,0.1,0.039,0.31,0.19,0.12,0.34,0.064,0.46,0.094,0.25,0.034,0.2,0.03
119,PETDB-1642-OM97-102A,,"PEUCKER-EHRENBRINK, 2012",nr,22.8,58.5,0.1,,,,,,XRF,WHOLE ROCK,IGNEOUS:PLUTONIC:MAFIC,GABBRO,,OPHIOLITE,0.24,0.75,0.14,0.97,0.41,0.28,0.69,0.13,0.88,0.19,0.51,0.07,0.42,0.065
120,PETDB-1642-OM97-106,,"PEUCKER-EHRENBRINK, 2012",nr,22.8,58.5,0.1,,,,,,XRF,WHOLE ROCK,IGNEOUS:PLUTONIC:MAFIC,GABBRO,,OPHIOLITE,0.35,1.13,0.24,1.66,0.77,0.44,1.31,0.24,1.75,0.35,0.92,0.13,0.77,0.12
121,PETDB-1642-OM97-108,,"PEUCKER-EHRENBRINK, 2012",nr,22.8,58.5,0.1,,,,,,XRF,WHOLE ROCK,IGNEOUS:PLUTONIC:MAFIC,GABBRO,,OPHIOLITE,0.21,0.58,0.1,0.6,0.23,0.22,0.37,0.063,0.48,0.095,0.26,0.035,0.22,0.036
122,PETDB-1642-OM97-113,,"PEUCKER-EHRENBRINK, 2012",nr,22.8,58.5,0.1,,,,,,XRF,WHOLE ROCK,IGNEOUS:PLUTONIC:MAFIC,GABBRO,,OPHIOLITE,1.21,3.57,0.59,3.35,1.17,0.56,1.72,0.31,2.21,0.44,1.27,0.18,1.12,0.18
123,PETDB-1642-OM97-114,,"PEUCKER-EHRENBRINK, 2012",nr,22.8,58.5,0.1,,,,,,XRF,WHOLE ROCK,IGNEOUS:PLUTONIC:MAFIC,GABBRO,,OPHIOLITE,0.95,2.94,0.49,2.73,0.95,0.53,1.41,0.25,1.86,0.38,1.07,0.15,0.98,0.16
125,PETDB-1642-OM97-204,,"PEUCKER-EHRENBRINK, 2012",nr,22.8,58.5,0.1,,,,,,XRF,WHOLE ROCK,IGNEOUS:PLUTONIC:MAFIC,GABBRO,,OPHIOLITE,0.27,0.82,0.16,1.0,0.42,0.27,0.7,0.13,0.94,0.19,0.52,0.072,0.45,0.072
126,PETDB-1642-OM97-207,,"PEUCKER-EHRENBRINK, 2012",nr,22.8,58.5,0.1,,,,,,XRF,WHOLE ROCK,IGNEOUS:PLUTONIC:MAFIC,GABBRO,,OPHIOLITE,1.41,4.28,0.71,3.94,1.36,0.91,1.95,0.34,2.5,0.5,1.45,0.21,1.31,0.21
127,PETDB-1642-OM97-209,,"PEUCKER-EHRENBRINK, 2012",nr,22.8,58.5,0.1,,,,,,XRF,WHOLE ROCK,IGNEOUS:PLUTONIC:MAFIC,GABBRO,,OPHIOLITE,1.47,4.53,0.75,4.3,1.55,0.71,2.29,0.41,3.0,0.59,1.69,0.24,1.49,0.23
128,PETDB-1642-OM97-45,,"PEUCKER-EHRENBRINK, 2012",nr,22.8,58.5,0.1,,,,,,XRF,WHOLE ROCK,IGNEOUS:PLUTONIC:MAFIC,GABBRO,,OPHIOLITE,0.19,0.54,0.12,0.8,0.37,0.25,0.62,0.12,0.86,0.17,0.48,0.066,0.41,0.063
129,PETDB-1642-OM97-52,,"PEUCKER-EHRENBRINK, 2012",nr,22.8,58.5,0.1,,,,,,XRF,WHOLE ROCK,IGNEOUS:PLUTONIC:MAFIC,GABBRO,,OPHIOLITE,0.19,0.6,0.13,0.92,0.44,0.3,0.73,0.14,1.04,0.22,0.58,0.082,0.5,0.077
130,PETDB-1642-OM97-59A,,"PEUCKER-EHRENBRINK, 2012",nr,22.8,58.5,0.1,,,,,,XRF,WHOLE ROCK,IGNEOUS:PLUTONIC:MAFIC,GABBRO,,OPHIOLITE,0.16,0.57,0.13,0.92,0.43,0.25,0.73,0.13,1.0,0.2,0.54,0.074,0.45,0.07
131,PETDB-1642-OM97-63,,"PEUCKER-EHRENBRINK, 2012",nr,22.8,58.5,0.1,,,,,,XRF,WHOLE ROCK,IGNEOUS:PLUTONIC:MAFIC,GABBRO,,OPHIOLITE,0.16,0.4,0.092,0.69,0.33,0.18,0.59,0.11,0.83,0.17,0.46,0.063,0.38,0.059
132,PETDB-1642-OM97-67,,"PEUCKER-EHRENBRINK, 2012",nr,22.8,58.5,0.1,,,,,,XRF,WHOLE ROCK,IGNEOUS:PLUTONIC:MAFIC,GABBRO,,OPHIOLITE,0.18,0.58,0.12,0.86,0.4,0.27,0.64,0.12,0.89,0.18,0.5,0.067,0.41,0.064
133,PETDB-1642-OM97-70,,"PEUCKER-EHRENBRINK, 2012",nr,22.8,58.5,0.1,,,,,,XRF,WHOLE ROCK,IGNEOUS:PLUTONIC:MAFIC,GABBRO,,OPHIOLITE,0.23,0.55,0.12,0.83,0.38,0.23,0.63,0.12,0.86,0.17,0.49,0.065,0.41,0.064
134,PETDB-1642-OM97-75,,"PEUCKER-EHRENBRINK, 2012",nr,22.8,58.5,0.1,,,,,,XRF,WHOLE ROCK,IGNEOUS:PLUTONIC:MAFIC,GABBRO,,OPHIOLITE,0.23,0.75,0.16,1.11,0.5,0.31,0.82,0.15,1.11,0.22,0.62,0.085,0.52,0.083
136,PETDB-1642-OM97-89,,"PEUCKER-EHRENBRINK, 2012",nr,22.8,58.5,0.1,,,,,,XRF,WHOLE ROCK,IGNEOUS:PLUTONIC:MAFIC,GABBRO,,OPHIOLITE,0.21,0.58,0.11,0.67,0.27,0.25,0.45,0.082,0.59,0.12,0.34,0.045,0.28,0.044
137,PETDB-1642-OM97-945,,"PEUCKER-EHRENBRINK, 2012",nr,22.8,58.5,0.1,,,,,,XRF,WHOLE ROCK,IGNEOUS:PLUTONIC:MAFIC,GABBRO,,OPHIOLITE,0.17,0.52,0.11,0.74,0.34,0.24,0.57,0.11,0.94,0.16,0.41,0.057,0.35,0.054
139,PETDB-1642-OM97-97,,"PEUCKER-EHRENBRINK, 2012",nr,22.8,58.5,0.1,,,,,,XRF,WHOLE ROCK,IGNEOUS:PLUTONIC:MAFIC,GABBRO,,OPHIOLITE,0.27,0.84,0.15,0.96,0.4,0.29,0.67,0.12,0.78,0.18,0.49,0.068,0.41,0.064
141,PETDB-1642-OM99-40,,"PEUCKER-EHRENBRINK, 2012",nr,22.8,58.5,0.1,,,,,,XRF,WHOLE ROCK,IGNEOUS:PLUTONIC:MAFIC,GABBRO,,OPHIOLITE,0.15,0.47,0.11,0.62,0.31,0.23,0.55,0.099,0.65,0.14,0.39,0.053,0.33,0.051
142,PETDB-1642-OM99-44,,"PEUCKER-EHRENBRINK, 2012",nr,22.8,58.5,0.1,,,,,,XRF,WHOLE ROCK,IGNEOUS:PLUTONIC:MAFIC,GABBRO,,OPHIOLITE,0.18,0.57,0.13,0.87,0.45,0.28,0.72,0.14,0.91,0.2,0.53,0.074,0.46,0.072
143,PETDB-1642-OM99-49,,"PEUCKER-EHRENBRINK, 2012",nr,22.8,58.5,0.1,,,,,,XRF,WHOLE ROCK,IGNEOUS:PLUTONIC:MAFIC,GABBRO,,OPHIOLITE,0.17,0.56,0.13,0.92,0.5,0.26,0.8,0.15,1.06,0.22,0.63,0.088,0.55,0.081
144,PETDB-1642-OM99-51,,"PEUCKER-EHRENBRINK, 2012",nr,22.8,58.5,0.1,,,,,,XRF,WHOLE ROCK,IGNEOUS:PLUTONIC:MAFIC,GABBRO,,OPHIOLITE,0.15,0.48,0.1,0.72,0.37,0.19,0.61,0.12,0.8,0.16,0.45,0.065,0.38,0.058
145,PETDB-1678-90-73,,"TODD, 2012",nr,-17.91,177.46,0.01,,,,,,XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,VOLCANIC_ARC,2.9,10.88,2.02,11.06,3.56,1.23,3.95,0.72,4.69,0.99,2.72,0.43,2.66,0.41
146,PETDB-1678-BHO96,,"TODD, 2012",nr,-17.86,177.64,0.01,,,,,,XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,VOLCANIC_ARC,1.93,4.86,0.74,3.65,1.15,0.53,1.5,0.26,1.66,0.36,1.03,0.15,1.02,0.15
147,PETDB-1678-DK10,,"TODD, 2012",nr,-17.92,177.43,0.01,,,,,,XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,VOLCANIC_ARC,2.16,6.44,1.2,6.79,2.53,1.13,3.5,0.6,3.73,0.79,2.17,0.3,1.88,0.27
148,PETDB-1678-LP132,,"TODD, 2012",nr,-17.83,177.51,0.01,,,,,,XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,VOLCANIC_ARC,5.29,13.25,1.83,7.92,2.33,0.82,2.79,0.5,2.86,0.62,1.7,0.28,1.69,0.27
149,PETDB-1678-LP143,,"TODD, 2012",nr,-17.82,177.49,0.01,,,,,,XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,VOLCANIC_ARC,1.17,2.62,0.42,1.88,0.65,0.25,0.84,0.15,1.11,0.22,0.71,0.12,0.76,0.11
150,PETDB-1678-LP145,,"TODD, 2012",nr,-17.82,177.5,0.01,,,,,,XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,VOLCANIC_ARC,2.38,7.36,1.16,6.8,2.38,0.82,3.24,0.59,3.74,0.79,2.45,0.33,2.26,0.32
151,PETDB-1678-T08-01_2,,"TODD, 2012",nr,-17.84,177.47,0.01,,,,,,XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,VOLCANIC_ARC,2.91,9.41,1.66,8.6,2.93,1.05,3.77,0.67,4.25,0.91,2.61,0.37,2.42,0.36
152,PETDB-1678-T08-03,,"TODD, 2012",nr,-17.85,177.48,0.01,,,,,,XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,VOLCANIC_ARC,3.48,11.42,2.06,10.88,3.79,1.22,4.94,0.88,5.71,1.25,3.67,0.54,3.55,0.54
153,PETDB-1678-T08-04UP,,"TODD, 2012",nr,-17.85,177.48,0.01,,,,,,XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,VOLCANIC_ARC,2.45,7.84,1.36,7.05,2.28,0.69,2.86,0.49,3.15,0.72,2.18,0.34,2.33,0.38
154,PETDB-1678-T08-05DK,,"TODD, 2012",nr,-17.85,177.49,0.01,,,,,,XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,VOLCANIC_ARC,2.49,7.54,1.32,7.09,2.49,1.13,3.32,0.6,3.81,0.84,2.39,0.35,2.27,0.34
155,PETDB-1678-T08-07,,"TODD, 2012",nr,-17.83,177.52,0.01,,,,,,XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,VOLCANIC_ARC,2.26,7.05,1.27,6.78,2.41,0.62,3.37,0.62,4.1,0.91,2.56,0.37,2.35,0.32
156,PETDB-1678-T08-08,,"TODD, 2012",nr,-17.83,177.52,0.01,,,,,,XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,VOLCANIC_ARC,3.79,11.52,1.95,10.0,3.32,1.26,4.36,0.79,5.08,1.13,3.29,0.5,3.26,0.5
157,PETDB-1678-T08-09,,"TODD, 2012",nr,-17.83,177.51,0.01,,,,,,XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,VOLCANIC_ARC,3.93,12.17,2.08,10.8,3.52,0.91,3.52,0.64,4.05,0.88,2.62,0.39,2.51,0.39
158,PETDB-1678-T08-10,,"TODD, 2012",nr,-17.83,177.51,0.01,,,,,,XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,VOLCANIC_ARC,6.81,20.96,3.61,19.28,6.47,2.13,8.09,1.41,8.76,1.86,5.27,0.75,4.68,0.66
159,PETDB-1678-T08-11,,"TODD, 2012",nr,-17.83,177.51,0.01,,,,,,XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,VOLCANIC_ARC,3.55,9.55,1.57,7.91,2.43,0.99,2.74,0.46,2.78,0.59,1.64,0.23,1.52,0.23
160,PETDB-1678-T08-12,,"TODD, 2012",nr,-17.86,177.43,0.01,,,,,,XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,VOLCANIC_ARC,3.44,9.09,1.51,7.78,2.42,0.97,2.88,0.5,3.19,0.7,2.07,0.32,2.1,0.32
161,PETDB-1678-T08-13,,"TODD, 2012",nr,-17.86,177.43,0.01,,,,,,XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,VOLCANIC_ARC,4.2,11.0,1.79,9.15,2.94,1.03,3.48,0.61,3.86,0.83,2.28,0.33,2.02,0.29
162,PETDB-1678-T08-14,,"TODD, 2012",nr,-17.86,177.43,0.01,,,,,,XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,VOLCANIC_ARC,2.56,7.9,1.37,7.28,2.58,1.01,3.4,0.63,4.07,0.9,2.58,0.37,2.35,0.34
163,PETDB-1678-T08-15,,"TODD, 2012",nr,-17.86,177.43,0.01,,,,,,XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,VOLCANIC_ARC,4.75,14.65,2.46,12.72,4.18,1.45,5.16,0.9,5.71,1.24,3.49,0.52,3.29,0.49
164,PETDB-1678-T08-19,,"TODD, 2012",nr,-17.89,177.44,0.01,,,,,,XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,VOLCANIC_ARC,2.67,7.82,1.38,7.37,2.52,0.93,3.32,0.59,3.79,0.82,2.38,0.34,2.14,0.31
165,PETDB-1678-T08-20,,"TODD, 2012",nr,-17.82,177.49,0.01,,,,,,XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,VOLCANIC_ARC,3.72,12.25,2.24,12.34,4.37,1.62,5.51,0.99,6.19,1.35,3.82,0.57,3.63,0.53
166,PETDB-1678-T08-21,,"TODD, 2012",nr,-17.82,177.49,0.01,,,,,,XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,VOLCANIC_ARC,3.26,8.31,1.29,6.34,2.0,0.7,2.42,0.42,2.67,0.59,1.71,0.25,1.64,0.24
167,PETDB-1678-T08-22,,"TODD, 2012",nr,-17.82,177.49,0.01,,,,,,XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,VOLCANIC_ARC,2.86,7.01,1.07,5.26,1.76,0.78,2.27,0.4,2.6,0.58,1.7,0.26,1.69,0.26
168,PETDB-1678-T08-24,,"TODD, 2012",nr,-17.82,177.49,0.01,,,,,,XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,VOLCANIC_ARC,4.18,10.26,1.54,7.51,2.37,0.88,2.91,0.51,3.28,0.74,2.16,0.33,2.13,0.33
169,PETDB-1678-T08-25,,"TODD, 2012",nr,-17.82,177.49,0.01,,,,,,XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,VOLCANIC_ARC,3.45,10.59,1.82,9.54,3.26,1.0,4.27,0.79,5.06,1.11,3.23,0.48,3.11,0.46
170,PETDB-1678-T08-26,,"TODD, 2012",nr,-17.82,177.49,0.01,,,,,,XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,VOLCANIC_ARC,2.53,5.4,0.75,3.44,1.08,0.44,1.39,0.25,1.67,0.38,1.13,0.18,1.18,0.18
171,PETDB-1678-T08-E01,,"TODD, 2012",nr,-21.38,174.91,0.01,,,,,,XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,VOLCANIC_ARC,1.22,4.48,0.94,5.34,1.97,0.58,2.17,0.4,2.62,0.57,1.69,0.25,1.62,0.25
172,PETDB-1678-T08-E02,,"TODD, 2012",nr,-21.38,174.91,0.01,,,,,,XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,VOLCANIC_ARC,1.44,4.76,0.92,5.15,2.0,0.71,2.64,0.51,3.29,0.73,2.17,0.32,2.11,0.32
173,PETDB-1678-T08-E04,,"TODD, 2012",nr,-21.38,174.91,0.01,,,,,,XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,VOLCANIC_ARC,1.73,5.47,0.99,5.47,2.12,0.66,2.57,0.48,3.27,0.73,2.19,0.33,2.14,0.33
174,PETDB-1678-T08-E05,,"TODD, 2012",nr,-21.38,174.91,0.01,,,,,,XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,VOLCANIC_ARC,0.28,0.95,0.19,1.15,0.57,0.26,0.68,0.14,0.93,0.21,0.66,0.09,0.62,0.1
175,PETDB-1678-T08-E06,,"TODD, 2012",nr,-21.83,174.91,0.01,,,,,,XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,VOLCANIC_ARC,0.5,1.55,0.25,1.42,0.56,0.29,0.64,0.13,0.82,0.18,0.56,0.08,0.54,0.08
176,PETDB-1678-T08-E07,,"TODD, 2012",nr,-21.38,174.91,0.01,,,,,,XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,VOLCANIC_ARC,2.87,9.53,1.78,9.86,3.62,1.32,4.84,0.85,5.36,1.15,3.24,0.45,2.83,0.42
